1,2,20,206069372
1,2,67,11000
3,1,63,600319207
3,2,60,61990497
1,2,39,490663430
1,1,21,873495924
3,1,45,82495183
3,2,41,558001633
2,2,25,3691824
3,2,37,472247000
2,1,63,903966211
3,1,33,972902528
1,2,61,877149735
3,1,20,817929782
2,1,60,643895734
1,1,39,671571832
2,1,69,564379587
1,2,48,149969491
1,1,46,963370815
1,2,38,581993791
2,2,61,556935848
2,2,30,826159181
3,2,44,522307469
1,1,19,957482902
3,2,23,736128720
3,1,52,65015570
2,1,61,419428011
1,1,65,326020494
1,1,57,292156858
2,2,59,872352256
3,1,40,304997117
2,2,47,465862528
1,1,49,137033900
2,2,27,3854291
2,2,65,128119766
3,1,56,173814033
1,1,36,612655554
1,2,19,739377353
2,2,60,932663714
2,1,51,511636734
3,2,28,463824194
1,2,70,815565052
1,2,37,518626121
3,1,57,960482742
3,2,64,990575144
1,1,38,163311528
1,2,54,570421383
3,2,24,990300781
1,1,53,37787330
1,2,57,317153898
3,1,56,396712674
3,2,64,12767353
3,2,65,803557658
2,1,35,145335515
1,2,27,635707731
3,1,66,306503757
3,2,33,834729628
1,1,23,750492429
3,1,67,13704607
2,1,37,488372183
1,2,34,394316589
2,2,41,454568174
2,1,29,857310754
3,1,50,822640853
3,1,46,376918586
3,2,56,175364663
2,1,65,946947454
2,2,43,836878607
1,1,57,426429108
1,1,32,607674444
2,2,38,210126611
3,1,26,463016601
1,1,38,89334926
2,1,45,594555776
1,1,18,622328771
3,1,54,814676208
2,2,42,923627240
2,2,33,297559040
1,2,30,582870949
2,2,47,956281004
1,1,36,96510242
2,2,46,598825996
1,1,33,906537167
1,1,29,69538686
2,2,40,445037979
1,2,24,327617817
3,1,54,891863228
1,1,70,835357876
2,1,23,636817109
2,2,35,412211000
1,2,67,172005458
2,2,67,410960439
2,2,37,711839604
2,2,37,840688511
1,1,61,385474048
1,2,56,158968219
1,1,30,413225845
1,1,23,169176813
3,2,29,116707452
3,2,40,713970518
